Protocol,FIN Flag Cnt,Init Bwd Win Byts,SYN Flag Cnt,Down/Up Ratio,Src Port,Dst Port,ACK Flag Cnt,Bwd Header Len,Fwd Pkt Len Min,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Label
0,0,-1,0,0,0,0,0,0,0,131.182.102.115-192.168.3.130-0-0-0,131.182.102.115,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-208.189.41.240-0-0-0,208.189.41.240,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,0,64240,0,1,443,55200,1,20,0,192.168.20.133-205.196.120.6-55200-443-6,205.196.120.6,443,192.168.20.133,55200,6,5/2/2020 12:33,Normal
6,1,63,0,0,80,43678,1,64,0,192.168.3.130-200.175.2.130-80-43678-6,192.168.3.130,80,200.175.2.130,43678,6,9/1/2020 16:33,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-86.243.39.179-0-0-0,86.243.39.179,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,1,63,0,2,80,41597,1,232,0,192.168.3.130-200.175.2.130-80-41597-6,192.168.3.130,80,200.175.2.130,41597,6,9/1/2020 16:31,Probe
0,0,-1,0,0,0,0,0,0,0,180.2.89.73-192.168.3.130-0-0-0,180.2.89.73,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,1,63,0,2,80,36963,1,232,0,192.168.3.130-200.175.2.130-80-36963-6,192.168.3.130,80,200.175.2.130,36963,6,9/1/2020 16:31,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-30.8.201.135-0-0-0,30.8.201.135,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,1,63,0,2,80,43401,1,232,0,192.168.3.130-200.175.2.130-80-43401-6,192.168.3.130,80,200.175.2.130,43401,6,9/1/2020 16:29,Probe
6,1,63,0,0,80,37228,1,64,0,192.168.3.130-200.175.2.130-80-37228-6,192.168.3.130,80,200.175.2.130,37228,6,9/1/2020 16:33,Probe
6,0,64240,0,1,41980,443,1,400,0,192.168.20.133-74.125.193.189-41980-443-6,192.168.20.133,41980,74.125.193.189,443,6,5/2/2020 13:34,Normal
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-28.160.132.207-0-0-0,28.160.132.207,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,3,38173,53,0,24,36,192.168.20.133-192.168.20.2-38173-53-17,192.168.20.133,38173,192.168.20.2,53,17,7/2/2020 14:57,Normal
0,0,-1,0,0,0,0,0,0,0,177.21.160.244-192.168.3.130-0-0-0,177.21.160.244,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
6,1,63,0,0,80,37274,1,64,0,192.168.3.130-200.175.2.130-80-37274-6,192.168.3.130,80,200.175.2.130,37274,6,9/1/2020 16:32,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-33.121.239.73-0-0-0,33.121.239.73,0,192.168.3.130,0,0,10/1/2020 5:56,DDoS
6,0,0,1,0,41019,4062,0,60,0,192.168.3.130-200.175.2.130-4062-41019-6,200.175.2.130,41019,192.168.3.130,4062,6,9/1/2020 17:32,Probe
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-120.115.68.200-0-0-0,120.115.68.200,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
0,0,-1,0,0,0,0,0,0,0,192.168.3.130-103.197.130.31-0-0-0,103.197.130.31,0,192.168.3.130,0,0,10/1/2020 5:57,DDoS
17,0,-1,0,3,59011,53,0,24,34,192.168.20.133-192.168.20.2-59011-53-17,192.168.20.133,59011,192.168.20.2,53,17,5/2/2020 12:54,Normal
17,0,-1,0,3,59620,53,0,24,32,192.168.20.133-192.168.20.2-59620-53-17,192.168.20.133,59620,192.168.20.2,53,17,5/2/2020 14:18,Normal
6,0,0,1,0,19174,2012,0,40,0,192.168.3.130-200.175.2.130-2012-19174-6,200.175.2.130,19174,192.168.3.130,2012,6,9/1/2020 17:50,Probe
6,1,63,0,2,80,34173,1,232,0,192.168.3.130-200.175.2.130-80-34173-6,192.168.3.130,80,200.175.2.130,34173,6,9/1/2020 16:32,Probe
6,0,0,1,0,4770,317,0,40,0,192.168.3.130-200.175.2.130-317-4770-6,200.175.2.130,4770,192.168.3.130,317,6,9/1/2020 17:35,Probe
6,0,64240,0,1,443,51434,1,20,0,192.168.20.133-74.125.168.10-51434-443-6,74.125.168.10,443,192.168.20.133,51434,6,7/2/2020 17:25,Normal
6,1,63,0,0,80,45722,1,64,0,192.168.3.130-200.175.2.130-80-45722-6,192.168.3.130,80,200.175.2.130,45722,6,9/1/2020 16:33,Probe
17,0,-1,0,3,57886,53,0,24,34,192.168.20.133-192.168.20.2-57886-53-17,192.168.20.133,57886,192.168.20.2,53,17,7/2/2020 17:20,Normal
6,0,215,1,1,46735,80,0,144,0,192.168.3.130-200.175.2.130-80-46735-6,200.175.2.130,46735,192.168.3.130,80,6,9/1/2020 16:29,Probe
6,0,0,1,0,46179,6664,0,60,0,192.168.3.130-200.175.2.130-6664-46179-6,200.175.2.130,46179,192.168.3.130,6664,6,9/1/2020 17:32,Probe
6,1,63,0,2,80,40550,1,232,0,192.168.3.130-200.175.2.130-80-40550-6,192.168.3.130,80,200.175.2.130,40550,6,9/1/2020 16:31,Probe
6,0,64240,0,0,443,48518,1,20,0,192.168.20.133-74.125.193.100-48518-443-6,74.125.193.100,443,192.168.20.133,48518,6,4/2/2020 18:19,Normal
17,0,-1,0,1,53,55668,0,8,95,192.168.20.129-192.168.20.2-55668-53-17,192.168.20.2,53,192.168.20.129,55668,17,7/2/2020 13:57,Normal
6,0,0,0,0,443,38250,1,40,0,192.168.20.133-74.214.194.134-38250-443-6,74.214.194.134,443,192.168.20.133,38250,6,5/2/2020 13:22,Normal
6,1,63,0,2,80,40573,1,232,0,192.168.3.130-200.175.2.130-80-40573-6,192.168.3.130,80,200.175.2.130,40573,6,9/1/2020 16:30,Probe
