Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.182.102.115-192.168.3.130-0-0-0,131.182.102.115,0,192.168.3.130,0,0,10/1/2020 5:57,17,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,117647.0588,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0.0,117647.0588,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.3.130-208.189.41.240-0-0-0,208.189.41.240,0,192.168.3.130,0,0,10/1/2020 5:57,18,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,111111.1111,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0.0,111111.1111,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.20.133-205.196.120.6-55200-443-6,205.196.120.6,443,192.168.20.133,55200,6,5/2/2020 12:33,2,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.3.130-200.175.2.130-80-43678-6,192.168.3.130,80,200.175.2.130,43678,6,9/1/2020 16:33,7101,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,281.65047180000005,7101.0,0.0,7101.0,7101.0,0.0,0.0,0.0,0.0,0.0,7101.0,7101.0,0.0,7101.0,7101.0,0,0,0,0,0,64,0.0,281.65047180000005,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe
192.168.3.130-86.243.39.179-0-0-0,86.243.39.179,0,192.168.3.130,0,0,10/1/2020 5:56,12,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,166666.6667,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0.0,166666.6667,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.3.130-200.175.2.130-80-41597-6,192.168.3.130,80,200.175.2.130,41597,6,9/1/2020 16:31,61709552,3,7,30.0,30.0,30,0,10.0,17.32050808,30,0,4.285714286,11.33893419,0.972296801,0.162049467,6856616.889,20500000.0,61700000.0,10.0,20370.0,10185.0,14135.06456,20180.0,190.0,61700000.0,10300000.0,25200000.0,61700000.0,1682.0,0,0,0,0,104,232,0.04861484,0.113434627,0,30,5.454545455,12.13559752,147.2727273,1,0,0,0,1,0,0,0,2,6.0,10.0,4.285714286,0,0,0,0,0,0,3,30,7,30,-1,63,1,0,1682.0,0.0,1682.0,1682.0,61700000.0,0.0,61700000.0,61700000.0,Probe
180.2.89.73-192.168.3.130-0-0-0,180.2.89.73,0,192.168.3.130,0,0,10/1/2020 5:57,523,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3824.091778,523.0,0.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,523.0,523.0,0.0,523.0,523.0,0,0,0,0,0,0,0.0,3824.091778,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.3.130-200.175.2.130-80-36963-6,192.168.3.130,80,200.175.2.130,36963,6,9/1/2020 16:31,64510129,3,7,30.0,30.0,30,0,10.0,17.32050808,30,0,4.285714286,11.33893419,0.930086499,0.155014416,7167792.1110000005,21500000.0,64500000.0,13.0,1881.0,940.5,1133.49217,1742.0,139.0,64500000.0,10800000.0,26300000.0,64500000.0,259.0,0,0,0,0,104,232,0.046504325,0.108510091,0,30,5.454545455,12.13559752,147.2727273,1,0,0,0,1,0,0,0,2,6.0,10.0,4.285714286,0,0,0,0,0,0,3,30,7,30,-1,63,1,0,3286.0,0.0,3286.0,3286.0,64500000.0,0.0,64500000.0,64500000.0,Probe
192.168.3.130-30.8.201.135-0-0-0,30.8.201.135,0,192.168.3.130,0,0,10/1/2020 5:57,33,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,60606.06061,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,33.0,33.0,0,0,0,0,0,0,0.0,60606.06061,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192.168.3.130-200.175.2.130-80-43401-6,192.168.3.130,80,200.175.2.130,43401,6,9/1/2020 16:29,62752792,3,7,30.0,30.0,30,0,10.0,17.32050808,30,0,4.285714286,11.33893419,0.956132757,0.159355459,6972532.444,20900000.0,62700000.0,17.0,3234.0,1617.0,2049.195452,3066.0,168.0,62800000.0,10500000.0,25600000.0,62700000.0,574.0,0,0,0,0,104,232,0.047806638,0.1115488219999999,0,30,5.454545455,12.13559752,147.2727273,1,0,0,0,1,0,0,0,2,6.0,10.0,4.285714286,0,0,0,0,0,0,3,30,7,30,-1,63,1,0,4432.0,0.0,4432.0,4432.0,62700000.0,0.0,62700000.0,62700000.0,Probe
